intellij_action_id,intellij_action_class,category,capability,engine_api,swiftui_entry,status,success_path,failure_path,test_evidence,notes
Arbor.Current.GitPull.MainMenuAction.2026-08-28,current verification override,push_fetch,Git.Pull single-action main-menu interaction,pull_with_settings_and_policy + pull_remote_branch_with_settings_and_policy,ArborApp.swift: VCS > Git > Pull… + PullDialogView.swift,verified-partial,One Pull action opens the existing root/remote/remote-branch/options dialog and restores its persisted default rebase choice; explicit Merge/Rebase remain available as dialog options and branch actions,Native GitPull/DialogWrapper/VcsNotifier/DataContext lifecycle and UI automation remain partial,ArborTests/CompareSelectionTests.swift::testVCSActionContextMatchesGitMenuEnablement + focused/full xcodebuild test + script/build_and_run.sh --verify,Current verification override for fork Git.Pull main-menu registration
Arbor.Current.GitCreateNewBranch.TopLevelUnborn.2026-08-28,current verification override,branch,GitCreateNewBranchAction top-level fresh/unborn presentation and invocation guard,branch_list + headId,ArborApp.swift: VCS > Git > New Branch… + WorkspaceOperations.swift: newBranch handler,verified-partial,New Branch remains visible but is disabled when any affected Git root lacks HEAD; the notification handler repeats the same guard before opening the dialog,Branch action/DataContext lifecycle and UI automation remain partial,ArborTests/CompareSelectionTests.swift::testVCSActionContextMatchesGitMenuEnablement + focused/full xcodebuild test + script/build_and_run.sh --verify,Current verification override for fork GitCreateNewBranchAction fresh-repository boundary
Arbor.Current.FindMergedLocalBranches.Presentation.2026-08-28,current verification override,branch,FindMergedLocalBranchesAction candidate-count presentation,local branch count,RebasedDialogs.swift: single-root and multi-root Branches Popup Find Merged action,verified-partial,Find Merged remains visible but is disabled unless at least one affected Git root has more than one local branch; the existing read-only scan and report flow is unchanged,Native FindMergedLocalBranchesAction/DataContext lifecycle and UI automation remain partial,ArborTests/CompareSelectionTests.swift::isFindMergedBranchesActionEnabled + focused/full xcodebuild test + script/build_and_run.sh --verify,Current verification override for fork FindMergedLocalBranchesAction.update
Arbor.Current.CheckoutUpdate.InvocationGuard.2026-08-28,current verification override,branch,Checkout and Update invocation-time tracking validation,checkoutAndUpdateUpstream + switch_branch / smart_switch_branch / force_switch_branch + pull_remote_branch,WorkspaceOperations.swift: checkoutAndUpdate,verified-partial,Valid tracking is preserved through the existing checkout-then-upstream-update flow; stale tracking state fails closed before any branch switch,Malformed or deleted tracking state shows actionable refresh feedback; native ActionData/DataContext/VcsNotifier lifecycle and UI automation remain partial,ArborTests/CompareSelectionTests.swift::testCheckoutAndUpdateRevalidatesTrackingBeforeSwitching + focused/full xcodebuild test + script/build_and_run.sh --verify,Current verification override for GitCheckoutWithUpdateAction invocation-time guard
Arbor.Current.Branches.SingleRootPush.2026-08-27,git4idea.actions.branch.GitPushBranchAction,branch,single-root Branches Popup Push for the selected local branch,beginPushDialog(branch:),RebasedDialogs.swift: RebasedBranchesPopover local branch menu,verified-partial,"The local-branch menu now exposes Push… for both current and non-current branches and opens the existing Push dialog with the selected branch as its source, matching GitPushBranchAction instead of silently routing through the checked-out branch.","No remote now enters the existing Push dialog and offers Configure Remotes; native VcsPushDialog/VcsNotifier/DataContext lifecycle and UI automation remain partial","ArborTests/HostingProviderTests.swift::testBranchDashboardSingleLocalSelectionUsesRootScopedActionGroup + focused/full xcodebuild test + script/build_and_run.sh --verify","Closes the user-visible single-root Branches Popup gap; multi-root branch Push was already root-qualified"
Arbor.Current.Branches.SingleRootPush.NoRemote.2026-08-27,git4idea.actions.branch.GitPushBranchAction,branch,single-root Branches Popup Push with no configured remote,beginPushDialog(branch:) + PushDialogMode.allowsCommitOnlyFallbackWithoutRemote,WorkspaceOperations.swift: beginPushDialog + PushDialogView.swift: empty-remote state,verified-partial,"A visible local-branch Push action now opens the dialog even when no remote is configured; Push mode clearly asks the user to configure a remote and offers that action, while Commit and Push alone retains its intentional commit-only fallback.","Native VcsPushDialog empty-remote presentation, VcsNotifier/DataContext lifecycle and UI automation remain partial; no Git transport starts without a selected remote","ArborTests/HostingProviderTests.swift::PushDialogTests::testOnlyCommitAndPushKeepsNoRemoteCommitFallback + focused/full xcodebuild test + script/build_and_run.sh --verify","Closes the silent no-op after selecting Push for a local branch in a repository without remotes"
Arbor.Current.Branches.TagCheckout.2026-08-27,git4idea.actions.ref.GitCheckoutAction,branch,Branches Popup tag checkout,smart_checkout_detached / smart_switch_branch / checkoutTagInRoot,RebasedDialogs.swift: tag context menus,verified-partial,"Single-root and multi-root tag rows now expose Checkout for non-current tags and route to the existing root-scoped tag checkout flow; current tags keep the IntelliJ-safe action set and no longer expose branch-only New Working Tree or Rename actions.","Native GitCheckoutAction/DataContext/VcsNotifier lifecycle, smart-checkout dialog details and UI automation remain partial","ArborTests/HostingProviderTests.swift::BranchDirectoryTreeTests::testBranchDashboardTagSelectionUsesReferenceActions + focused/full xcodebuild test + script/build_and_run.sh --verify","Closes the missing tag Checkout action and removes branch-only actions from the tag context menu"
Arbor.Current.LogRewrite.InMemoryCancellation.2026-08-27,current verification override,rebase,cancellable in-memory Log Drop/Interactive Rebase,drop_selected_commits_with_policy_and_cancel + rebase_with_todo_and_policy_and_cancel,WorkspaceOperations.swift: dropSelectedCommitsFromLog + startTodoRebase,verified-partial,"The same GitCancelHandle is consumed by the object-level history rewrite before local-scene preservation and before each replay step; cancellation returns Cancelled, restores the original HEAD boundary, and lets the preservation wrapper restore the staged/unstaged/untracked scene. Log Drop now uses the cancellable API; native fallback behavior remains unchanged.","Native ProgressIndicator/ProgressWindow/DataContext lifecycle and UI automation remain partial","arbor-engine/tests/log_drop_commits.rs::cancelled_in_memory_drop_keeps_head_and_worktree_unchanged + focused/full xcodebuild test + cargo test --all-targets + script/build_and_run.sh --verify","Closes the user-visible gap where the default in-memory rewrite ignored the Cancel action"
Arbor.Current.LogApply.AbortSession.2026-08-27,current verification override,history,Abort multi-root Log Revert/Cherry-pick session,logApplyRecoveryCancellationTargets + root-scoped marker cleanup,WorkspaceOperations.swift: doOperationAbort,verified-partial,"Aborting the active root cancels the complete ordered Log Revert/Cherry-pick session; current and later root recovery markers are removed and their stale Retry notifications expire","Native VcsNotifier/DataContext lifecycle and UI automation remain partial","ArborTests/CompareSelectionTests.swift::testAbortingLogApplyCancelsEveryPendingRootInTheSession + focused xcodebuild test","Closes stale later-root Retry state after a compound Log operation is aborted"
Arbor.Current.GitAutoFetch.IncomingBranchState.2026-08-27,git4idea.branch.GitBranchIncomingOutgoingManager,branch,root-qualified live incoming branch state,remoteIncomingBranchesWithAuthAndCancel + GitIncomingBranch snapshot,RepositoryIndexRevisionMonitor.swift: GitAutoFetchMonitor + ContentView.swift: incoming state + RebasedDialogs.swift/RebasedWorkspaceViews.swift: Branches/status badges,verified-partial,"Each FETCH/LS_REMOTE cycle publishes incoming state with checked remote identities, retaining root/remote/branch identity for live remote branches whose local tracking ref is stale; Branches Popup, multi-root Branches, branch button, and status bar show an unknown-count down marker, while empty results clear only remotes actually checked and merged state clears stale notifications.","Native VcsNotifier permission/banner lifecycle, full GitBranchIncomingOutgoingManager dashboard data model, authentication-success persistence, and UI automation remain partial","ArborTests/CompareSelectionTests.swift::testAutoFetchIncomingBranchesStayQualifiedByRootAndRemote + ArborTests/CompareSelectionTests.swift::testAutoFetchIncomingSnapshotPreservesUncheckedRemotes + focused/full xcodebuild test + cargo test --all-targets + script/build_and_run.sh --verify","Display-only state does not change tracked-upstream resolution or checkout/pull/push action availability"
